Proposal Number,Project number,Account Name,Opportunity Name,Confidence,Stage,Probability (%),Close Date,Carnet Assignment,Date of Carnet Assignment,Durée du Projet (Nb. de semaines),Nb. Hrs. Atelier (Sans Contingence),Nb. Hrs. Élec. (Sans Contingence,Nb. Hrs. Gestion,Nb. Hrs. Logiciel (Sans Contingence),Nb. Hrs. Mec. (Sans Contingence),Nb. Hrs. Procédé (Sans Contingence),Nb. Hrs. RC (Sans Contingence),Nb. Hrs. Robot (Sans Contingence),Main Process Type,Secondary Process Type,Third Process Type,SharePoint,Type de Système(s) Proposé(s)
5905,,Lisi (Parthenay),Étude VSV tri-blend,50% Leading,Opportunity GO,15,2/12/2019,,,,,,,,,,,,Tri-Blend,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05905&v=search"" target=""_blank"">SharePoint Reference</a>",Étude
5922,,Ultratech,"One (1) ""COMBI"" Robotic Polishing and Profiling System",30% Preliminary analysis,Develop Budgetary Proposal,30,6/12/2019,,,,387,192,371,,211,562,190,211,Cosmetic Polishing,Profiling,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05922&v=search"" target=""_blank"">SharePoint Reference</a>",BF-X 200-c (Système COMBI (Polissage & Profilage))
5673,,Lufthansa Technik,Trent XWB Fan Blade Recontouring pre-engineering Phase,30% Preliminary analysis,Develop Fixed Price Proposal,50,27/12/2019,,,15,138,43,100,0,157,250,0,154,RE-Profiling,Cosmetic Polishing,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05673&v=search"" target=""_blank"">SharePoint Reference</a>",Étude
5820,,Pratt & Whitney (Rzeszow),Une (1) cellule de polissage adaptatif,10% Project identified,Go/No-Go,10,31/01/2020,,,,,,,,,,,,Adaptive Polishing,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05820&v=search"" target=""_blank"">SharePoint Reference</a>",Système Custom
,R-1940,Lufthansa Technik,One (1) Robotic Fan Blade Recontouring System,30% Preliminary analysis,R.O.M. Submitted,25,28/02/2020,,,26,963,155,280,0,346,312,63,290,RE-Profiling,Cosmetic Polishing,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=R-1940&v=search"" target=""_blank"">SharePoint Reference</a>",BF-X 800 (Système de Profilage ou Re-Profilage d;aubes FAN)
5955,,Proxmus (Elbl?g),Une (1) cellule de polissage,10% Project identified,Go/No-Go,10,27/03/2020,,,,,,,,,,,,Cosmetic Polishing,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05955&v=search"" target=""_blank"">SharePoint Reference</a>",
,R-1999,Safran Aircraft Engines (Gennevilliers),Polissage Distributeur HP,50% Leading,Proposal Submitted,60,27/03/2020,,,,,,,,,,,,Controlled Polishing,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=R-1999&v=search"" target=""_blank"">SharePoint Reference</a>",BF-X 200-c (Système COMBI (Polissage & Profilage))
5817,,AFI KLM E&M (Amsterdam),Une (1) cellule de re-profiling de fan blade,10% Project identified,Go/No-Go,10,27/03/2020,,,,,,,,,,,,RE-Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05817&v=search"" target=""_blank"">SharePoint Reference</a>",BF-X 800 (Système de Profilage ou Re-Profilage d;aubes FAN)
4665,,Safran Aircraft Engines (Gennevilliers),Étude - Reprise Bord Fuite (Multiple LPT Profiling) Phase2,75% Choosen,Proposal Submitted,60,27/03/2020,,,,40,18,424,,174,734,954,76,Thin Trailing Edge Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04665&v=search"" target=""_blank"">SharePoint Reference</a>",Étude
,R-1864,Safran Aircraft Engines (Gennevilliers),One (1) Fan blade BA Profiling System - R2,60% Short listed,Budgetary Submitted,40,27/03/2020,,,,472,148,320,224,653,471,0,321,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=R-1864&v=search"" target=""_blank"">SharePoint Reference</a>",BF-X 800 (Système de Profilage ou Re-Profilage d;aubes FAN)
5072,,Safran Helicopter Engines (Bordes),Une (1) Cellule Polissage aubes HVOF + Cuivre - R2,50% Leading,Budgetary Submitted,40,27/03/2020,,,,436,229,531,22,510,856,,368,Controlled Polishing,Deburring,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05072&v=search"" target=""_blank"">SharePoint Reference</a>",BF-X 200-c (Système COMBI (Polissage & Profilage))
4962,,Safran Aircraft Engines (Gennevilliers),Étude - Ajustage d;aubes Militaires,75% Choosen,Budgetary Submitted,40,27/03/2020,,,,3,0,55,0,23,386,0,0,Deburring,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04962&v=search"" target=""_blank"">SharePoint Reference</a>",Étude
5762,,Avio (Bielsko),LEAP LPT multivane deburring,30% Preliminary analysis,Go/No-Go,10,27/03/2020,,,,,,,,,,,,Deburring,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05762&v=search"" target=""_blank"">SharePoint Reference</a>",Système Custom
5525,,Safran Aero Boosters (Herstal),Quatre (4) cellules de profilage LPC Leap,75% Choosen,R.O.M. Submitted,25,24/04/2020,,,,,,,,,,,,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05525&v=search"" target=""_blank"">SharePoint Reference</a>",BF-X 200-i (Système de Profilage Simple)
5816,,Lufthansa Technik,One (1) Trent XWB & Trent 1000 Fan Blade Recontouring System,10% Project identified,Develop R.O.M. Estimate,20,29/05/2020,,,,,,,,,,,,RE-Profiling,Cosmetic Polishing,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05816&v=search"" target=""_blank"">SharePoint Reference</a>",Système Custom
5906,,Lisi (Parthenay),Une (1) cellule de profilage grandes pièces,10% Project identified,Opportunity GO,15,29/05/2020,,,,,,,,,,,,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05906&v=search"" target=""_blank"">SharePoint Reference</a>",BF-X 800 (Système de Profilage ou Re-Profilage d;aubes FAN)
5797,,Arconic (Dives),Une (1) cellule de polissage LPT Leap,30% Preliminary analysis,Opportunity GO,15,15/06/2020,,,,,,,,,,,,Controlled Polishing,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05797&v=search"" target=""_blank"">SharePoint Reference</a>",BF-X 200-c (Système COMBI (Polissage & Profilage))
5501,,Lisi (Parthenay),Une (1) cellule de finition VSV,50% Leading,Go/No-Go,10,26/06/2020,,,,,,,,,,,,Cosmetic Polishing,Deburring,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05501&v=search"" target=""_blank"">SharePoint Reference</a>",Système Custom
5970,,Lisi (Rzeszow),Une (1) cellule d;Inspection,10% Project identified,R.O.M. Submitted,25,26/06/2020,,,,,,,,,,,,AVI - Blade,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05970&v=search"" target=""_blank"">SharePoint Reference</a>",Système d;inspection Robotisé
5821,,Pietro Rosa T.B.M,Une (1) cellule de polissage adaptatif VSV,10% Project identified,Go/No-Go,10,26/06/2020,,,,,,,,,,,,Adaptive Polishing,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05821&v=search"" target=""_blank"">SharePoint Reference</a>",Système Custom
5767,,Chromalloy (Rochefort) Malichaud Atlantique,Une (1) ou trois (3) cellule(s) d;ébavurage de LPT blade LEAP,30% Preliminary analysis,Budgetary Submitted,40,26/06/2020,,,27,290,197,226,0,491,137,63,510,Deburring,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05767&v=search"" target=""_blank"">SharePoint Reference</a>",Système d;ébavurage Std.
5992,,Turbocoating (Tarbes),Étude Polissage HVOF sur HPT RTM,10% Project identified,Go/No-Go,10,30/06/2020,,,,,,,,,,,,Controlled Polishing,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05992&v=search"" target=""_blank"">SharePoint Reference</a>",Étude
5754,,ITP,Une (1) cellule d;ébavurage de LPT multivane,30% Preliminary analysis,Go/No-Go,10,25/09/2020,,,,,,,,,,,,Deburring,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05754&v=search"" target=""_blank"">SharePoint Reference</a>",Système Custom
,4297-1,Micro-Onde ALGA Inc.,Programmation Robot,90%  Verbal or written agreement,Closed Won,100,7/1/2015,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=4297-1&v=search"" target=""_blank"">SharePoint Reference</a>",
,3629-1,IMAX,Rig de peinture transportable,90%  Verbal or written agreement,Closed Won,100,12/1/2015,,,,,,,,,,,,Painting - LEGACY,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=3629-1&v=search"" target=""_blank"">SharePoint Reference</a>",
,4311-1,Esstalion Technologies Inc.,Battery Racks and Container,75% Choosen,Closed Won,100,20/01/2015,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=4311-1&v=search"" target=""_blank"">SharePoint Reference</a>",
,B-2456,Thomas & Betts,Die Cast Pieces,90%  Verbal or written agreement,Closed Won,100,30/01/2015,,,,,,,,,,,,Die Cast - Production,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=B-2456&v=search"" target=""_blank"">SharePoint Reference</a>",
,4310-1,MAAX (Siège Social),Services d;impartition Sylvain Santerre,90%  Verbal or written agreement,Closed Won,100,5/2/2015,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=4310-1&v=search"" target=""_blank"">SharePoint Reference</a>",
,3701,Cuisine Santé International,Terminaison,90%  Verbal or written agreement,Closed Won,100,10/2/2015,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=3701&v=search"" target=""_blank"">SharePoint Reference</a>",
,4186-3,T&B (Pointe-Claire),Laser Marking Cell,90%  Verbal or written agreement,Closed Won,100,11/2/2015,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=4186-3&v=search"" target=""_blank"">SharePoint Reference</a>",
,4086-DC6,Pratt & Whitney Canada Longueuil,Amendement - Marquage laser sur heat-shield,90%  Verbal or written agreement,Closed Won,100,24/02/2015,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=4086-DC6&v=search"" target=""_blank"">SharePoint Reference</a>",
,4245 DC1,Héroux-Devtek (Longueuil),Programmation interface - Projet TDE,90%  Verbal or written agreement,Closed Won,100,11/3/2015,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=4245 DC1&v=search"" target=""_blank"">SharePoint Reference</a>",
,4281-1,Ressort Liberté,Pré-ingénierie de la ligne d;assemblage des clutch,50% Leading,Closed Won,100,12/3/2015,,,,,,,,,,,,Assembly,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=4281-1&v=search"" target=""_blank"">SharePoint Reference</a>",
,4337-1,NUTRI-OEUF,Support technique à la ligne de production,10% Project identified,Closed Won,100,14/03/2015,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=4337-1&v=search"" target=""_blank"">SharePoint Reference</a>",
,4162DC02,Monnaie Royale Canadienne,Amendement - Cellule d;application de LACQUE,90%  Verbal or written agreement,Closed Won,100,16/03/2015,,,,,,,,,,,,Painting - LEGACY,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=4162DC02&v=search"" target=""_blank"">SharePoint Reference</a>",
,4349-1,Exactam Inc.,Mesure d;écluses,90%  Verbal or written agreement,Closed Won,100,16/03/2015,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=4349-1&v=search"" target=""_blank"">SharePoint Reference</a>",
,4368-1,Esstalion Technologies Inc.,CONNECTION CABLES,90%  Verbal or written agreement,Closed Won,100,21/04/2015,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=4368-1&v=search"" target=""_blank"">SharePoint Reference</a>",
,DC-03-04,Pratt & Whitney Canada Longueuil,Amendement - Cellule robotisée - Anti-Splatter,90%  Verbal or written agreement,Closed Won,100,21/04/2015,,,,,,,,,,,,Painting - LEGACY,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=DC-03-04&v=search"" target=""_blank"">SharePoint Reference</a>",
,DC-01,Esstalion Technologies Inc.,Battery Racks and Container,90%  Verbal or written agreement,Closed Won,100,21/04/2015,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=DC-01&v=search"" target=""_blank"">SharePoint Reference</a>",
,3970-1,Bluemed,Courriel,90%  Verbal or written agreement,Closed Won,100,24/04/2015,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=3970-1&v=search"" target=""_blank"">SharePoint Reference</a>",
,DC04-06,Monnaie Royale Canadienne,Amendement - Cellule d;application de LACQUE,90%  Verbal or written agreement,Closed Won,100,4/6/2015,,,,,,,,,,,,Painting - LEGACY,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=DC04-06&v=search"" target=""_blank"">SharePoint Reference</a>",
,4326-DC1,BAIN MAGIQUE,Robot aux Accessoires,90%  Verbal or written agreement,Closed Won,100,10/8/2015,,,,,,,,,,,,Non-metalic Robotic Operation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=4326-DC1&v=search"" target=""_blank"">SharePoint Reference</a>",
,4080-1,Canimex,Cellule Robot machine tending,90%  Verbal or written agreement,Closed Won,100,10/8/2015,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=4080-1&v=search"" target=""_blank"">SharePoint Reference</a>",
,DC-3 a 7,Esstalion Technologies Inc.,Battery Racks and Container,90%  Verbal or written agreement,Closed Won,100,12/8/2015,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=DC-3 a 7&v=search"" target=""_blank"">SharePoint Reference</a>",
,4395-1,Esstalion Technologies Inc.,Impartition électrotechnicien pour montage électrique divers,90%  Verbal or written agreement,Closed Won,100,10/9/2015,90% Verbal Agreement ou R.O.I. validé par DODE,2/9/2015,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=4395-1&v=search"" target=""_blank"">SharePoint Reference</a>",
,4314-1,Héroux-Devtek (Strongsville),Cellule de peinture de train d;atérissage,100% Closed Won,Closed Won,100,7/10/2015,90% Verbal Agreement ou R.O.I. validé par DODE,17/07/2015,,,,,,,,,,Painting - LEGACY,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=4314-1&v=search"" target=""_blank"">SharePoint Reference</a>",Système Custom
4439,,GEA CAR,Amendement - Ligne de Bancs Rutland,100% Closed Won,Closed Won,100,29/10/2015,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04439&v=search"" target=""_blank"">SharePoint Reference</a>",
4496,,GEE Greenville  (NM),Amendement - Industrializing Protoype Optomec Printer,90%  Verbal or written agreement,Closed Won,100,15/12/2015,,,,,,,,,,,,Dispensing,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04496&v=search"" target=""_blank"">SharePoint Reference</a>",
4516,,Fondremy,Amendement - Cellule robotisée,100% Closed Won,Closed Won,100,7/1/2016,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04516&v=search"" target=""_blank"">SharePoint Reference</a>",
4523,,Airfoil Services Sdn. Bhd. (ASSB),HPC Recontouring System,100% Closed Won,Closed Won,100,12/1/2016,,,,,,,,,,,,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04523&v=search"" target=""_blank"">SharePoint Reference</a>",
4561,L699-DC1,Airfoil Services Sdn. Bhd. (ASSB),Amendement - HPC Recontouring System,100% Closed Won,Closed Won,100,12/1/2016,,,,,,,,,,,,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04561&v=search"" target=""_blank"">SharePoint Reference</a>",
4562,L693-DC2,GEE Greenville  (NM),Amendement - Industrializing Protoype Optomec Printer,100% Closed Won,Closed Won,100,28/01/2016,,,,,,,,,,,,Dispensing,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04562&v=search"" target=""_blank"">SharePoint Reference</a>",
4584,C-131,GEA Piedmont,C-131 DC-02,100% Closed Won,Closed Won,100,8/3/2016,,,,,,,,,,,,Deburring,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04584&v=search"" target=""_blank"">SharePoint Reference</a>",
4454,,Pratt & Whitney East Hartford,AVI System Programming,100% Closed Won,Closed Won,100,9/3/2016,90% Verbal Agreement ou R.O.I. validé par DODE,7/12/2015,,,,,,,,,,AVI - Blade,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04454&v=search"" target=""_blank"">SharePoint Reference</a>",
4634,L690 DC3,Safran Aircraft Engines (Gennevilliers),HPT Polishing & Blending,100% Closed Won,Closed Won,100,8/4/2016,,,,,,,,,,,,Polishing Non-Attribué,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04634&v=search"" target=""_blank"">SharePoint Reference</a>",
4657,,Fondremy,Amendement - Cellule robotisée,100% Closed Won,Closed Won,100,21/04/2016,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04657&v=search"" target=""_blank"">SharePoint Reference</a>",
4631,,Esstalion Technologies Inc.,Services 1 Électro-technicien 2e Phase,100% Closed Won,Closed Won,100,25/04/2016,90% Verbal Agreement ou R.O.I. validé par DODE,18/04/2016,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04631&v=search"" target=""_blank"">SharePoint Reference</a>",
4704,,Canimex,Amendement-Cellule Robot machine tending,,Closed Won,100,20/05/2016,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04704&v=search"" target=""_blank"">SharePoint Reference</a>",
4688,,Esstalion Technologies Inc.,Amendement - Services 1 Électro-technicien 2e Phase,100% Closed Won,Closed Won,100,14/06/2016,90% Verbal Agreement ou R.O.I. validé par DODE,6/6/2016,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04688&v=search"" target=""_blank"">SharePoint Reference</a>",
4730,,Trimpot Electronicas,DC-09-01,,Closed Won,100,11/7/2016,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04730&v=search"" target=""_blank"">SharePoint Reference</a>",
4771,DC-02-03,Safran Aircraft Engines (Gennevilliers),Etude Reprise Bord Fuite (Multiple LPT Profiling),100% Closed Won,Closed Won,100,29/08/2016,,,,,,,,,,,,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04771&v=search"" target=""_blank"">SharePoint Reference</a>",
4888,,Paccar,Amendement - Automatisation : ?Zero Waste Color Change System? R2,100% Closed Won,Closed Won,100,29/11/2016,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04888&v=search"" target=""_blank"">SharePoint Reference</a>",
